sample	mode	scheme	n	k_tp	tp_rate	ci_lo	ci_hi	fold_vs_baseline	fp_reduction_vs_baseline
COLO829	to_pileup	S6	10	4	0.4	0.16817758120350967	0.6873304525498135	0.6118891474508145	-0.732667731629393
COLO829	to_pileup	S7	20	10	0.5	0.2992949144298199	0.7007050855701801	0.764861434313518	-0.4438897763578276
HCC1395	paired_full	baseline	30381	29754	0.9793621013133208	0.977701775250969	0.9809012144713799	1.0	0.0
HCC1395	paired_full	S1	347	346	0.9971181556195965	0.9838586354678999	0.9994911155308416	1.0181302240330363	0.860361540476812
HCC1395	paired_full	S2	0	0					
HCC1395	paired_full	S3	17	16	0.9411764705882353	0.730174547964372	0.9895398693548358	0.961009691232815	-1.8502673796791413
HCC1395	paired_full	S4	14915	14618	0.9800871605766007	0.9777183806867618	0.9822086956889269	1.0007403382899007	0.035132417029836355
HCC1395	paired_full	S5	364	362	0.9945054945054945	0.9801901838786321	0.9984919445157637	1.0154625068418173	0.7337662337662351
HCC1395	paired_full	S6	20	20	1.0	0.8388698745050667	1.0	1.0210727969348659	1.0
HCC1395	paired_full	S7	21	20	0.9523809523809523	0.7733018341376452	0.9915442305280766	0.9724502827951104	-1.3073593073593068
HCC1395_DORADO	paired_full	baseline	30129	29889	0.9920342527133327	0.9909658454971036	0.9929772022106839	1.0	0.0
HCC1395_DORADO	paired_full	S1	500	500	1.0	0.9923753814690964	0.9999999999999999	1.0080297099267288	1.0
HCC1395_DORADO	paired_full	S2	0	0					
HCC1395_DORADO	paired_full	S3	94	94	1.0	0.9607365374237544	1.0	1.0080297099267288	1.0
HCC1395_DORADO	paired_full	S4	14778	14692	0.9941805386385167	0.9928191876531591	0.9952850279947749	1.0021635199785832	0.2694393693327949
HCC1395_DORADO	paired_full	S5	594	594	1.0	0.9935742176523014	1.0	1.0080297099267288	1.0
HCC1395_DORADO	paired_full	S6	13	13	1.0	0.7718981569447083	1.0	1.0080297099267288	1.0
HCC1395_DORADO	paired_full	S7	13	13	1.0	0.7718981569447083	1.0	1.0080297099267288	1.0
HCC1937	paired_full	baseline	12588	12393	0.984509056244042	0.9821991301251174	0.9865233480864892	1.0	0.0
HCC1937	paired_full	S1	546	538	0.9853479853479854	0.9713565719781423	0.992557398881829	1.0008521293924344	0.0541561003099497
HCC1937	paired_full	S2	0	0					
HCC1937	paired_full	S3	3	3	1.0	0.43849391955098227	1.0	1.0157346889373033	1.0
HCC1937	paired_full	S4	5452	5422	0.9944974321349963	0.9921556497113602	0.9961428375467742	1.0101455398785875	0.6447880805914539
HCC1937	paired_full	S5	549	541	0.9854280510018215	0.9715116239904873	0.9925981680367408	1.0009334548544282	0.05932464620989333
HCC1937	paired_full	S6	2	2	1.0	0.34237195288961925	1.0	1.0157346889373033	1.0
HCC1937	paired_full	S7	2	2	1.0	0.34237195288961925	1.0	1.0157346889373033	1.0
HCC1954	paired_full	baseline	17938	17909	0.9983833203255659	0.9976791302705619	0.9988740886587593	1.0	0.0
HCC1954	paired_full	S1	273	273	1.0	0.9861234727728783	1.0	1.001619297559886	1.0
HCC1954	paired_full	S2	0	0					
HCC1954	paired_full	S3	26	26	1.0	0.8712669561953784	1.0	1.001619297559886	1.0
HCC1954	paired_full	S4	15351	15332	0.9987622956159208	0.9980675577561663	0.9992074646055101	1.0003795889641178	0.23441581925470759
HCC1954	paired_full	S5	299	299	1.0	0.9873148206851372	1.0	1.001619297559886	1.0
HCC1954	paired_full	S6	24	24	1.0	0.8620194241710247	1.0	1.001619297559886	1.0
HCC1954	paired_full	S7	42	42	1.0	0.9161983874908382	1.0	1.001619297559886	1.0
H1437	paired_full	baseline	67476	67468	0.9998814393265754	0.9997660406599365	0.999939921898221	1.0	0.0
H1437	paired_full	S1	1182	1181	0.9991539763113367	0.9952232340595458	0.9998506442729397	0.9992724507260295	-6.135786802029473
H1437	paired_full	S2	0	0					
H1437	paired_full	S3	23	23	1.0	0.8568788745827374	1.0	1.0001185747317247	1.0
H1437	paired_full	S4	51656	51651	0.9999032058231376	0.9997734074334955	0.9999586552370178	1.0000217690775188	0.1835895152544438
H1437	paired_full	S5	1205	1204	0.9991701244813278	0.9953141097471863	0.9998534953385421	0.9992886008107855	-5.999585062239806
H1437	paired_full	S6	13	13	1.0	0.7718981569447083	1.0	1.0001185747317247	1.0
H1437	paired_full	S7	18	18	1.0	0.8241154494176252	1.0	1.0001185747317247	1.0
H2009	paired_full	baseline	132995	132909	0.9993533591488402	0.9992015535219753	0.9994763176693481	1.0	0.0
H2009	paired_full	S1	3516	3515	0.9997155858930603	0.9983905864090781	0.9999497934534702	1.0003624611263915	0.5601668121808986
H2009	paired_full	S2	0	0					
H2009	paired_full	S3	175	175	1.0	0.9785195390781564	1.0	1.0006470592661145	1.0
H2009	paired_full	S4	89247	89227	0.9997759028314678	0.9996538607840936	0.9998549214389753	1.0004228170934328	0.6534441519890481
