RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
186	145	110	Weak	Strong	False	True	0	0.9756	1	0.01	False	True
187	149	137	Weak	Strong	False	True	0	0.5676	0.01	0.01	True	True
188	118	149	Strong	Strong	False	False	0	0	0.01	0.01	True	True
189	131	108	Weak	Weak	False	False	0	0	1	0.01	False	True
190	117	156	Weak	Strong	False	False	0.0931	0	1	0.01	False	True
191	124	149	Strong	Strong	False	False	0	0	0.01	0.01	True	True
192	119	170	Strong	Strong	False	True	0	0.5501	0.01	0.01	True	True
193	113	131	Weak	Strong	False	False	0	0	1	0.01	False	True
194	133	317	Weak	Strong	False	True	0	0.3444	1	0.01	False	True
195	112	149	Weak	Weak	False	False	0	0	1	1	False	False
196	136	208	Weak	Strong	False	False	0	0	1	0.01	False	True
197	124	89	Weak	Strong	False	False	0	0	1	0.01	False	True
198	118	265	Weak	Weak	False	False	0	0	1	1	False	False
199	151	134	Weak	Strong	False	False	0	0	1	0.01	False	True
200	120	161	Strong	Strong	False	False	0	0	0.01	0.01	True	True
201	125	156	Strong	Weak	True	False	0.1455	0	0.01	1	True	False
202	107	349	Weak	Strong	False	True	0	0.6177	1	0.01	False	True
203	113	201	Strong	Strong	False	False	0	0	0.01	0.01	True	True
204	97	123	Noise	Noise	False	False	0	0	1	1	False	False
205	105	175	Strong	Weak	False	False	0	0	0.01	1	True	False
206	106	218	Strong	Strong	False	False	0	0	0.01	0.01	True	True
207	115	130	Weak	Strong	False	False	0	0	1	0.01	False	True
208	115	139	Strong	Strong	False	False	0	0	0.01	0.01	True	True
209	136	177	Weak	Weak	False	False	0	0	1	1	False	False
210	100	241	Weak	Strong	False	False	0	0	1	0.01	False	True
211	98	111	Weak	Strong	False	True	0	1	1	0.01	False	True
212	132	190	Noise	Noise	False	False	0	0	1	1	False	False
213	147	147	Weak	Strong	False	True	0	0.9522	1	0.01	False	True
214	113	184	Weak	Weak	False	False	0	0	1	1	False	False
215	126	208	Weak	Strong	False	False	0	0	1	0.01	False	True
216	120	131	Noise	Noise	False	False	0	0	1	1	False	False
217	120	114	Noise	Noise	False	False	0	0	1	1	False	False
218	124	120	Weak	Weak	False	False	0	0	1	1	False	False
