RegionID	NumReads	NumCpGs	VC_maxdist	VC_skip	Sig_maxdist	Sig_skip	CramersV_maxdist	CramersV_skip	PermanovaP_maxdist	PermanovaP_skip	PermanovaValid_maxdist	PermanovaValid_skip
279	119	81	Weak	Strong	False	False	0	0	1	0.01	False	True
283	126	317	Weak	Noise	False	False	0	0	1	1	False	False
284	126	317	Weak	Noise	False	False	0	0	1	1	False	False
285	116	119	Weak	Noise	False	False	0	0	1	1	False	False
287	127	92	Weak	Strong	False	False	0	0	1	0.01	False	True
288	142	112	Weak	Strong	False	True	0	0.6439	0.01	0.01	True	True
289	122	148	Weak	Strong	False	True	0	0.9696	1	0.01	False	True
290	114	124	Weak	Strong	False	True	0	0.9451	1	0.01	False	True
291	115	131	Weak	Strong	False	False	0	0	1	0.01	False	True
292	111	106	Weak	Strong	False	True	0	0.9707	1	0.01	False	True
294	94	103	Weak	Subclone	False	False	0	0	1	0.01	False	True
295	101	124	Weak	Strong	False	True	0	0.9689	1	0.01	False	True
296	110	108	Weak	Strong	False	True	0	0.9661	1	0.01	False	True
297	96	100	Weak	Strong	False	True	0	0.8762	1	0.01	False	True
298	124	101	Weak	Strong	False	True	0	0.9282	1	0.01	False	True
299	95	101	Weak	Strong	False	True	0	0.9068	1	0.01	False	True
301	105	77	Strong	Weak	False	False	0	0	0.01	1	True	False
302	117	91	Weak	Strong	False	False	0	0	1	0.01	False	True
305	133	250	Strong	Weak	False	False	0	0	0.01	1	True	False
306	113	101	Weak	Strong	False	False	0	0	1	0.01	False	True
307	112	98	Weak	Strong	False	False	0	0	1	0.01	False	True
308	99	94	Weak	Strong	False	False	0	0	1	0.01	False	True
309	81	119	Weak	Strong	False	True	0	1	1	0.01	False	True
310	91	80	Weak	Strong	False	True	0	0.8841	1	0.01	False	True
311	102	61	Weak	Strong	False	False	0	0	1	0.01	False	True
313	107	138	Weak	Strong	False	False	0	0	1	0.01	False	True
314	88	93	Weak	Strong	False	True	0	0.9606	1	0.01	False	True
315	95	103	Weak	Strong	False	True	0	0.9587	1	0.01	False	True
317	129	142	Weak	Strong	False	True	0	0.9491	1	0.01	False	True
318	139	311	Weak	Strong	False	False	0	0	1	0.01	False	True
320	107	112	Weak	Strong	False	False	0	0	1	0.01	False	True
322	116	121	Strong	Weak	False	False	0	0	0.01	1	True	False
323	118	110	Strong	Strong	False	True	0	0.83	0.01	0.01	True	True
324	118	110	Strong	Strong	False	True	0	0.8598	0.01	0.01	True	True
325	137	88	Weak	Strong	False	False	0	0	1	0.01	False	True
327	123	174	Weak	Strong	False	False	0	0	1	0.01	False	True
332	132	125	Weak	Noise	False	False	0	0	1	1	False	False
333	107	186	Strong	Weak	False	False	0	0	0.01	1	True	False
334	121	161	Strong	Strong	True	False	0.4354	0	0.01	0.01	True	True
335	185	315	Strong	Weak	False	False	0	0	0.01	1	True	False
339	185	94	Weak	Strong	False	True	0	0.3773	0.01	0.01	True	True
340	150	128	Weak	Strong	False	False	0	0	1	0.01	False	True
341	148	146	Weak	Strong	False	False	0	0	1	0.01	False	True
347	124	121	Strong	Noise	False	False	0	0	0.01	1	True	False
348	108	116	Weak	Strong	False	False	0	0	1	0.01	False	True
349	109	99	Weak	Strong	False	False	0	0	1	0.01	False	True
351	144	98	Weak	Strong	False	False	0	0	1	0.01	False	True
352	132	62	Weak	Strong	False	True	0	0.5653	1	0.01	False	True
353	127	94	Weak	Noise	False	False	0	0	1	1	False	False
354	160	59	Weak	Strong	False	True	0	0.3194	1	0.01	False	True
355	141	95	Weak	Strong	False	False	0	0	1	0.01	False	True
356	124	112	Weak	Noise	False	False	0	0	1	1	False	False
357	121	95	Weak	Strong	False	False	0	0	1	0.01	False	True
358	101	47	Strong	Strong	False	True	0	0.5411	0.01	0.01	True	True
360	135	149	Weak	Strong	False	False	0	0	1	0.01	False	True
361	107	104	Weak	Strong	False	False	0	0	1	0.01	False	True
362	139	101	Weak	Strong	False	False	0	0	1	0.01	False	True
363	120	121	Weak	Strong	False	False	0	0	1	0.01	False	True
