sample	phase	rule_rank	rule_id	rule_label	tp_removed	fp_removed	tp_total_before	fp_total_before	tp_after	fp_after	precision_after	recall_after	f1_after	delta_f1_vs_final
HCC1395	discovery	78	af_le_0.10_ad_ge_0.20_pairwise_le_0.15	AF<=0.10 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	79	af_le_0.10_ad_ge_0.20_pairwise_le_0.20	AF<=0.10 and AlleleDelta>=0.20 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	80	af_le_0.10_ad_ge_0.25_pairwise_le_0.05	AF<=0.10 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.05	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	81	af_le_0.10_ad_ge_0.25_pairwise_le_0.10	AF<=0.10 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	82	af_le_0.10_ad_ge_0.25_pairwise_le_0.15	AF<=0.10 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	83	af_le_0.10_ad_ge_0.25_pairwise_le_0.20	AF<=0.10 and AlleleDelta>=0.25 and PairwiseMedianDist<=0.20	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	84	strong_lowaf_highad	VerificationClass=Strong and AF<=0.10 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	85	cluster_plus_weak_lowaf_highad	agreement=cluster_plus_weak_label and AF<=0.10 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	86	strong_to_weak_lowaf_highad	class_shift=Strong->Weak and AF<=0.10 and AlleleDelta>=0.15	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
HCC1395	discovery	87	quality_low_and_lowaf	QualityScore<=20 and AF<=0.10	0	0	28505	11598	28505	11598	0.710795	0.722615	0.716656	-0.000044
