sample	side	af_b	cn_t	n	TP_rate	HP_Ratio_AUC	HP_Ratio_med	is_high_AUC
HCC1954	Inner	Inter_hi	Diploid	1094	0.07	0.698	0.013	True
HCC1954	Inner	Inter_hi	Gain	640	0.1	0.81	0.025	True
HCC1954	Inner	Inter_hi	High	351	0.123	0.773	0.048	True
HCC1954	Inner	Extr_hi	Loss	752	0.092	0.592	1.0	False
HCC1954	Inner	Extr_hi	Sub	1010	0.034	0.509	1.0	False
HCC1954	Inner	Extr_hi	Diploid	889	0.015	0.514	1.0	False
HCC1954	Inner	Extr_hi	Gain	267	0.034	0.568	1.0	False
HCC1954	Inner	Extr_hi	High	216	0.037	0.658	1.0	True
HCC1954	Outer	Extr_lo	Diploid	36	0.972	1.0	0.476	True
HCC1954	Outer	Extr_lo	Gain	42	0.976	0.561	0.5	False
HCC1954	Outer	Extr_lo	High	109	1.0		0.412	False
HCC1954	Outer	Inter_lo	Loss	960	0.435	0.51	0.387	False
HCC1954	Outer	Inter_lo	Sub	8082	0.441	0.535	0.383	False
HCC1954	Outer	Inter_lo	Diploid	8835	0.433	0.538	0.371	False
HCC1954	Outer	Inter_lo	Gain	4430	0.405	0.541	0.378	False
HCC1954	Outer	Inter_lo	High	1556	0.407	0.516	0.487	False
HCC1954	Outer	NearHalf	Loss	751	0.193	0.521	0.487	False
HCC1954	Outer	NearHalf	Sub	5146	0.141	0.542	0.491	False
HCC1954	Outer	NearHalf	Diploid	5403	0.119	0.586	0.5	False
HCC1954	Outer	NearHalf	Gain	2287	0.112	0.645	0.487	False
HCC1954	Outer	NearHalf	High	812	0.086	0.507	0.493	False
HCC1954	Outer	Inter_hi	Loss	672	0.07	0.523	0.351	False
HCC1954	Outer	Inter_hi	Sub	4810	0.04	0.532	0.346	False
HCC1954	Outer	Inter_hi	Diploid	5075	0.034	0.521	0.319	False
HCC1954	Outer	Inter_hi	Gain	2297	0.027	0.554	0.34	False
HCC1954	Outer	Inter_hi	High	964	0.043	0.526	0.361	False
H2009	Inner	Extr_lo	Loss	42	0.786	0.534	0.085	False
H2009	Inner	Extr_lo	Sub	59	0.763	0.629	0.908	False
H2009	Inner	Extr_lo	Diploid	66	0.864	0.616	0.097	False
H2009	Inner	Inter_lo	Loss	225	0.956	0.593	1.0	False
H2009	Inner	Inter_lo	Sub	1542	0.971	0.761	1.0	True
H2009	Inner	Inter_lo	Diploid	2309	0.956	0.591	0.933	False
H2009	Inner	Inter_lo	Gain	3305	0.943	0.523	0.009	False
H2009	Inner	Inter_lo	High	1632	0.953	0.513	0.018	False
H2009	Inner	NearHalf	Loss	217	0.977	0.53	1.0	False
H2009	Inner	NearHalf	Sub	6822	0.967	0.71	1.0	True
H2009	Inner	NearHalf	Diploid	7058	0.954	0.684	1.0	True
H2009	Inner	NearHalf	Gain	949	0.905	0.521	0.028	False
H2009	Inner	NearHalf	High	512	0.865	0.52	0.028	False
H2009	Inner	Inter_hi	Loss	500	0.956	0.536	0.923	False
H2009	Inner	Inter_hi	Sub	983	0.94	0.572	1.0	False
H2009	Inner	Inter_hi	Diploid	1243	0.918	0.529	0.083	False
H2009	Inner	Inter_hi	Gain	1799	0.891	0.512	0.027	False
H2009	Inner	Inter_hi	High	773	0.913	0.573	0.021	False
H2009	Inner	Extr_hi	Loss	3267	0.912	0.547	1.0	False
H2009	Inner	Extr_hi	Sub	12237	0.899	0.505	1.0	False
H2009	Inner	Extr_hi	Diploid	9573	0.867	0.504	1.0	False
H2009	Inner	Extr_hi	Gain	775	0.874	0.548	1.0	False
H2009	Inner	Extr_hi	High	54	0.741	0.534	1.0	False
H2009	Outer	Extr_lo	Diploid	46	0.978	0.978	0.488	True
H2009	Outer	Extr_lo	High	43	0.977	0.643	0.362	False
H2009	Outer	Inter_lo	Loss	255	0.898	0.55	0.245	False
H2009	Outer	Inter_lo	Sub	2470	0.926	0.53	0.444	False
H2009	Outer	Inter_lo	Diploid	7217	0.932	0.501	0.392	False
H2009	Outer	Inter_lo	Gain	13565	0.929	0.514	0.387	False
H2009	Outer	Inter_lo	High	5135	0.931	0.51	0.462	False
H2009	Outer	NearHalf	Loss	302	0.904	0.597	0.5	False
H2009	Outer	NearHalf	Sub	14077	0.916	0.51	0.5	False
H2009	Outer	NearHalf	Diploid	17133	0.895	0.503	0.495	False
H2009	Outer	NearHalf	Gain	3837	0.888	0.526	0.486	False
H2009	Outer	NearHalf	High	2122	0.887	0.503	0.5	False
H2009	Outer	Inter_hi	Loss	341	0.912	0.555	0.157	False
H2009	Outer	Inter_hi	Sub	1565	0.903	0.548	0.397	False
H2009	Outer	Inter_hi	Diploid	4032	0.9	0.513	0.374	False
H2009	Outer	Inter_hi	Gain	7023	0.875	0.502	0.366	False
H2009	Outer	Inter_hi	High	2355	0.889	0.509	0.329	False
H2009	Outer	Extr_hi	Loss	95	0.895	0.506	0.195	False
H2009	Outer	Extr_hi	Sub	59	0.881	0.679	0.413	True
H2009	Outer	Extr_hi	Diploid	32	0.812	0.676	0.5	True
H1437	Inner	Extr_lo	Sub	95	0.916	0.695	1.0	True
H1437	Inner	Inter_lo	Loss	471	0.968	0.832	1.0	True
H1437	Inner	Inter_lo	Sub	1952	0.879	0.7	0.97	True
H1437	Inner	Inter_lo	Diploid	1938	0.842	0.593	0.018	False
H1437	Inner	Inter_lo	Gain	692	0.928	0.6	0.914	False
H1437	Inner	Inter_lo	High	172	0.884	0.559	1.0	False
H1437	Inner	NearHalf	Loss	529	0.979	0.779	1.0	True
H1437	Inner	NearHalf	Sub	1248	0.908	0.76	1.0	True
H1437	Inner	NearHalf	Diploid	1120	0.772	0.526	0.0	False
H1437	Inner	NearHalf	Gain	707	0.752	0.519	0.0	False
H1437	Inner	NearHalf	High	92	0.793	0.519	0.02	False
H1437	Inner	Inter_hi	Loss	210	0.743	0.556	1.0	False
H1437	Inner	Inter_hi	Sub	1163	0.785	0.593	0.053	False
H1437	Inner	Inter_hi	Diploid	1325	0.768	0.589	0.047	False
H1437	Inner	Inter_hi	Gain	335	0.836	0.639	0.096	False
